id,team_id,name,position,shirt_number,height_cm,dob,nationality,photo_url,created_at,updated_at,market_value,media_urls,nationality_code
1d971412-f049-4966-854e-6c0da9ddaac9,539cc6fb-d79a-449b-be23-1271355bd727,Amr Abdulfattah (Amoory),Forward,10,170,1996-11-07,Egypt,,2026-08-05 22:18:19.02108+00,2026-08-05 22:18:31.56398+00,230000,{},EG
68d0ff83-99f8-42f8-a8d8-9333b5eee5c7,539cc6fb-d79a-449b-be23-1271355bd727,Fahad Hamoud,Defender,13,,1990-10-03,Kuwait,https://ontmfbptthwipfzlywwh.supabase.co/storage/v1/object/sign/player-photos/2898534a-c3c9-45b7-bf02-56445321fed2.png?token=eyJraWQiOiJzdG9yYWdlLXVybC1zaWduaW5nLWtleV9hODVlNGZkYi1iOWRjLTQ2NWUtOGNiNy0xZjRiZmY0OWJiMjciLCJhbGciOiJIUzI1NiJ9.eyJ1cmwiOiJwbGF5ZXItcGhvdG9zLzI4OTg1MzRhLWMzYzktNDViNy1iZjAyLTU2NDQ1MzIxZmVkMi5wbmciLCJzY29wZSI6ImRvd25sb2FkIiwiaWF0IjoxNzg2NDU2NDM2LCJleHAiOjE5NDQxMzY0MzZ9.X9zzOcGsvf9Jc8vT_XZ_exYWRQrhMNa6H78I_yx5-qs,2026-08-05 20:54:54.712703+00,2026-08-11 13:54:00.996064+00,130000,{},KW
e0f99a91-4be5-4047-8b52-2c063f5fe08a,539cc6fb-d79a-449b-be23-1271355bd727,Malik Zola,Defender,35,183,1996-02-23,Congo - Kinshasa,https://ontmfbptthwipfzlywwh.supabase.co/storage/v1/object/sign/player-photos/18c7e156-3987-4bea-b83d-f5ff3494764f.png?token=eyJraWQiOiJzdG9yYWdlLXVybC1zaWduaW5nLWtleV9hODVlNGZkYi1iOWRjLTQ2NWUtOGNiNy0xZjRiZmY0OWJiMjciLCJhbGciOiJIUzI1NiJ9.eyJ1cmwiOiJwbGF5ZXItcGhvdG9zLzE4YzdlMTU2LTM5ODctNGJlYS1iODNkLWY1ZmYzNDk0NzY0Zi5wbmciLCJzY29wZSI6ImRvd25sb2FkIiwiaWF0IjoxNzg2NDU2NTQwLCJleHAiOjE5NDQxMzY1NDB9.rE2DRKyschK8ywO1zK7gqVmV89jplsqfi4rseQw2ZZE,2026-08-05 20:56:47.153638+00,2026-08-11 13:55:58.593716+00,525000,{},CD
b445f275-8417-46a0-8955-4a5cb721e7f4,539cc6fb-d79a-449b-be23-1271355bd727,Ahmad Al Dhefiri,Midfielder,8,178,1992-01-08,Kuwait,https://ontmfbptthwipfzlywwh.supabase.co/storage/v1/object/sign/player-photos/457eb917-27cc-45bb-af96-a203deba51b2.png?token=eyJraWQiOiJzdG9yYWdlLXVybC1zaWduaW5nLWtleV9hODVlNGZkYi1iOWRjLTQ2NWUtOGNiNy0xZjRiZmY0OWJiMjciLCJhbGciOiJIUzI1NiJ9.eyJ1cmwiOiJwbGF5ZXItcGhvdG9zLzQ1N2ViOTE3LTI3Y2MtNDViYi1hZjk2LWEyMDNkZWJhNTFiMi5wbmciLCJzY29wZSI6ImRvd25sb2FkIiwiaWF0IjoxNzg2NDU2NzI3LCJleHAiOjE5NDQxMzY3Mjd9.PZnkQUliWIw4g_BvzNA3lgndeQpTreybtO-ZMgMq5rY,2026-08-05 22:15:30.774874+00,2026-08-11 13:58:53.34679+00,220000,{},KW
97b24dde-8910-4ec7-bbc7-d0a21568d126,539cc6fb-d79a-449b-be23-1271355bd727,Humoud Al Sanousi,Midfielder,72,,2003-05-02,Kuwait,https://ontmfbptthwipfzlywwh.supabase.co/storage/v1/object/sign/player-photos/7ebf2292-bd53-4a3d-a262-d969553a7de6.png?token=eyJraWQiOiJzdG9yYWdlLXVybC1zaWduaW5nLWtleV9hODVlNGZkYi1iOWRjLTQ2NWUtOGNiNy0xZjRiZmY0OWJiMjciLCJhbGciOiJIUzI1NiJ9.eyJ1cmwiOiJwbGF5ZXItcGhvdG9zLzdlYmYyMjkyLWJkNTMtNGEzZC1hMjYyLWQ5Njk1NTNhN2RlNi5wbmciLCJzY29wZSI6ImRvd25sb2FkIiwiaWF0IjoxNzg2NDU3MDkyLCJleHAiOjE5NDQxMzcwOTJ9.bZe1f_soXMcQT2f84twZFp0GOeexK5kccZDscL-8ouM,2026-08-05 22:15:57.122052+00,2026-08-11 14:04:57.456883+00,,{},KW
5d3e9c13-b71e-48aa-a3f1-61ec26cccb58,073cfa17-037f-4b8b-a79a-aeb5dbee9a40,Mohammad Al Faresi,Defender,,,1992-03-17,Kuwait,,2026-08-21 20:02:00.097669+00,2026-08-21 20:02:00.995051+00,,{},KW
d55ea43f-7d32-482c-afd5-84350d9823d0,539cc6fb-d79a-449b-be23-1271355bd727,Yousef Nasser,Forward,20,175,1990-10-09,Kuwait,https://ontmfbptthwipfzlywwh.supabase.co/storage/v1/object/sign/player-photos/1b88c038-5298-47b4-8782-8a5cd9f0809a.png?token=eyJraWQiOiJzdG9yYWdlLXVybC1zaWduaW5nLWtleV9hODVlNGZkYi1iOWRjLTQ2NWUtOGNiNy0xZjRiZmY0OWJiMjciLCJhbGciOiJIUzI1NiJ9.eyJ1cmwiOiJwbGF5ZXItcGhvdG9zLzFiODhjMDM4LTUyOTgtNDdiNC04NzgyLThhNWNkOWYwODA5YS5wbmciLCJzY29wZSI6ImRvd25sb2FkIiwiaWF0IjoxNzg2NDU3NjE3LCJleHAiOjE5NDQxMzc2MTd9.cpjY9M33LJXSmBpEK6WWqHt5S3asvuKOuWZlaCSpXqo,2026-08-05 22:25:38.796044+00,2026-08-11 14:13:42.773875+00,165000,{},KW
0a0dce86-75cb-408c-96f9-01f85cff9c22,539cc6fb-d79a-449b-be23-1271355bd727,Meshari Ghanam,Defender,3,,1998-09-15,Kuwait,https://ontmfbptthwipfzlywwh.supabase.co/storage/v1/object/sign/player-photos/63a7ad7b-4ddc-4c57-abfc-afd10a2534ca.png?token=eyJraWQiOiJzdG9yYWdlLXVybC1zaWduaW5nLWtleV9hODVlNGZkYi1iOWRjLTQ2NWUtOGNiNy0xZjRiZmY0OWJiMjciLCJhbGciOiJIUzI1NiJ9.eyJ1cmwiOiJwbGF5ZXItcGhvdG9zLzYzYTdhZDdiLTRkZGMtNGM1Ny1hYmZjLWFmZDEwYTI1MzRjYS5wbmciLCJzY29wZSI6ImRvd25sb2FkIiwiaWF0IjoxNzg2NDU2Mjk1LCJleHAiOjE5NDQxMzYyOTV9.t_NkSGcw5X7Z2_8OmaYwwgbEqa8_VxmYDYTqYr9xqvU,2026-08-05 22:10:52.225564+00,2026-08-11 13:51:42.857763+00,240000,{},KW
02c2dfe1-ae27-4cc8-b87a-d0518b804b5c,539cc6fb-d79a-449b-be23-1271355bd727,Mohsen Falah,Defender,12,,2004-11-10,Kuwait,,2026-08-05 22:12:56.588011+00,2026-08-11 13:53:30.73072+00,,{},KW
4ceee15e-a222-489c-b205-f9e8fc33ea0a,539cc6fb-d79a-449b-be23-1271355bd727,Mohammad Freih,Defender,23,175,1988-11-24,Kuwait,,2026-08-05 22:11:28.448214+00,2026-08-11 13:55:07.559965+00,,{},KW
