id,person_type,person_id,from_club,to_club,moved_on,fee,transfer_type,sort_order,created_at,season
b9f2934a-45f9-4f75-b071-79a74a6a643c,player,f906e87d-5490-46bd-aa6c-9c926848c91f,Al Arabi SC Youth,Al Arabi SC,2011-06-30,,Youth promotion,0,2026-07-30 02:31:18.059648+00,
c0e8d2c3-8ff5-4ec4-a955-ba521c830535,player,e4f3fecc-5913-44a6-aca5-e415b03a02d0,Sulaibikhat FC,Al Arabi SC,2026-07-17,,Transfer,0,2026-08-14 01:59:21.700151+00,26/27
01406948-e15b-4ab8-abe4-0b66c2df9da9,player,b0b85d9f-ad00-4204-80b6-86c458eb2a9c,Al Arabi SC,Khaitan SC,2026-08-14,,Transfer,0,2026-08-14 12:32:32.495966+00,26/27
be51b866-0f70-47c8-bb22-ee960dc134df,player,54163a69-d0ea-4904-b01d-39a1b313f726,Al Tai,Kazma SC,2026-07-29,Free,Transfer,0,2026-08-15 01:05:44.511882+00,26/27
6b6c9e9e-8439-4763-9256-526f102c9829,player,54163a69-d0ea-4904-b01d-39a1b313f726,HNK Vukovar 1991,Al Tai,2025-09-17,Unknown,Transfer,0,2026-08-15 01:05:44.511882+00,25/26
0c23971b-227c-4aaf-80af-390ad42c7d78,player,54163a69-d0ea-4904-b01d-39a1b313f726,FC Den Bosch,HNK Vukovar 1991,2025-01-10,Free,Transfer,0,2026-08-15 01:05:44.511882+00,24/25
86fa1526-f941-4573-98f4-e503ec9f65b5,player,54163a69-d0ea-4904-b01d-39a1b313f726,HNK Vukovar 1991,FC Den Bosch,2024-07-01,Free,Transfer,0,2026-08-15 01:05:44.511882+00,24/25
28e2c866-cef6-4c27-a1ce-e243be89b4e3,player,54163a69-d0ea-4904-b01d-39a1b313f726,Kickers Offenbach,HNK Vukovar 1991,2023-01-30,Free,Transfer,0,2026-08-15 01:05:44.511882+00,22/23
c7fc97a4-ffbe-4b43-aaf0-0e4020a7f78d,player,54163a69-d0ea-4904-b01d-39a1b313f726,Türkgücü München,Kickers Offenbach,2022-07-01,Free,Transfer,0,2026-08-15 01:05:44.511882+00,22/23
36a38fa1-8fce-44c1-98f6-39d59a5bd9ee,player,54163a69-d0ea-4904-b01d-39a1b313f726,NK Slaven Belupo,Türkgücü München,2021-08-29,€150k,Transfer,0,2026-08-15 01:05:44.511882+00,21/22
f1e4830a-8fc5-42b8-8762-b8e39125dcab,player,54163a69-d0ea-4904-b01d-39a1b313f726,1. FC Nürnberg,NK Slaven Belupo,2020-08-11,Free,Transfer,0,2026-08-15 01:05:44.511882+00,20/21
01a56b97-e9da-4b5b-8dba-64ba9e2f98e1,player,54163a69-d0ea-4904-b01d-39a1b313f726,SV Wehen Wiesbaden,1. FC Nürnberg,2020-06-30,,Loan return,0,2026-08-15 01:05:44.511882+00,19/20
840b830e-c55e-495a-b3f6-6547bc725da7,player,54163a69-d0ea-4904-b01d-39a1b313f726,1. FC Nürnberg,SV Wehen Wiesbaden,2019-08-22,,Loan,0,2026-08-15 01:05:44.511882+00,19/20
0cece66f-b60f-4150-b50f-a58d9c437a59,player,54163a69-d0ea-4904-b01d-39a1b313f726,Hamburger SV II U23,1. FC Nürnberg,2018-07-01,Free,Transfer,0,2026-08-15 01:05:44.511882+00,18/19
12b14318-98ac-439b-8749-804a398f41b1,coach,6ca300a3-d8f9-4390-b3ff-776e2c7a41e8,Al Mesaimeer SC,,,,Left,0,2026-08-15 01:08:37.555714+00,20/21
f174d6a8-4390-4154-85b8-30e138adfadf,coach,6ca300a3-d8f9-4390-b3ff-776e2c7a41e8,,HNK Rijeka U19,,,Appointed,0,2026-08-15 01:08:37.555714+00,21/22
bff594ad-323c-4732-986d-a33546f6266a,coach,6ca300a3-d8f9-4390-b3ff-776e2c7a41e8,HNK Rijeka U19,NK Hrvatski Dragovoljac,,,Appointed,0,2026-08-15 01:08:37.555714+00,21/22
f7dbdebc-5e22-45bf-8c83-203c0d192db3,coach,6ca300a3-d8f9-4390-b3ff-776e2c7a41e8,NK Hrvatski Dragovoljac,HNK Rijeka,,,Appointed,0,2026-08-15 01:08:37.555714+00,22/23
65218455-0ff9-45f6-97a7-e7127eefc1ea,coach,6ca300a3-d8f9-4390-b3ff-776e2c7a41e8,HNK Rijeka,,,,Left,0,2026-08-15 01:08:37.555714+00,22/23
b3637bcd-ef1d-46b3-b589-145f0e45de44,coach,6ca300a3-d8f9-4390-b3ff-776e2c7a41e8,,Al Bukayriyah,,,Appointed,0,2026-08-15 01:08:37.555714+00,23/24
796f5241-d1a4-4a33-a267-33bc3105f8d2,coach,6ca300a3-d8f9-4390-b3ff-776e2c7a41e8,Al Bukayriyah,,,,Left,0,2026-08-15 01:08:37.555714+00,23/24
2d0a0142-4550-4dad-b74c-66d52f1f99da,coach,6ca300a3-d8f9-4390-b3ff-776e2c7a41e8,,Sitra,,,Appointed,0,2026-08-15 01:08:37.555714+00,24/25
f84a08ab-f424-4368-bde7-b5700d14483c,coach,6ca300a3-d8f9-4390-b3ff-776e2c7a41e8,Sitra,Kazma SC,,,Appointed,0,2026-08-15 01:08:37.555714+00,24/25
cb83b487-7a83-4d99-923a-83a590c41fff,coach,af2cb37b-b04c-400c-9e24-cc36eb3826ad,Varzim ,Bragança,2009-12-07,,Transfer,0,2026-08-15 06:56:55.638511+00,09/10
4b5d0846-a35a-4ec0-9e5d-02e7fb825e7f,coach,af2cb37b-b04c-400c-9e24-cc36eb3826ad,Bragança,CD Fátima,2010-07-01,,Transfer,0,2026-08-15 06:58:15.466236+00,10/11
1b90aeb2-24bc-4f7c-b039-e8287e14dbde,coach,af2cb37b-b04c-400c-9e24-cc36eb3826ad,CD Fátima,Al Qadsia SC,2011-07-01,,Transfer,0,2026-08-15 06:59:03.049013+00,11/12
9707d5b4-bef3-4198-b589-7e1d76baa07f,coach,af2cb37b-b04c-400c-9e24-cc36eb3826ad,Al Qadsia SC,Khaitan SC,2012-06-30,,Transfer,0,2026-08-15 06:59:37.310622+00,12/13
2f1baea8-7a58-402d-b566-7fd7ee263e3b,coach,af2cb37b-b04c-400c-9e24-cc36eb3826ad,Khaitan SC,No Club,2016-06-30,,Free agent,0,2026-08-15 07:00:38.701507+00,16/17
3c4204f8-fe12-4d4a-bf47-a0a8149968eb,coach,af2cb37b-b04c-400c-9e24-cc36eb3826ad,No Club,Varzim,2019-06-30,,Appointed,0,2026-08-15 07:01:13.309005+00,19/20
f99b8f8c-21a4-46e9-b27a-8a5bdcb73670,coach,af2cb37b-b04c-400c-9e24-cc36eb3826ad,Varzim,No Club,2021-06-30,,Free agent,0,2026-08-15 07:01:52.66159+00,21/22
27c00d0f-a7df-418e-8e82-5688c8d069f5,coach,af2cb37b-b04c-400c-9e24-cc36eb3826ad,No Club,Ribeirão FC,2022-10-11,,Appointed,0,2026-08-15 07:02:36.830927+00,22/23
a465af1d-9c59-45f1-82ea-ecd87ba0bca8,coach,af2cb37b-b04c-400c-9e24-cc36eb3826ad,Ribeirão FC,Sulaibikhat FC,2023-07-01,,Transfer,0,2026-08-15 07:03:40.613275+00,23/24
79df9bab-155f-4d2f-9530-ae3b30ad1e6d,player,4151d703-9d1e-4a26-9904-4ca9251cc4cd,,Al Nassr,2026-08-19,,Transfer,0,2026-08-19 02:48:33.854272+00,26/27
d50c5387-d138-46e5-b5b5-18837194255a,player,15754619-e8ea-46f0-9b13-072520ec494c,,Al Nassr,2026-08-19,,Transfer,0,2026-08-19 02:48:37.505252+00,26/27
153dfe3b-c365-4aca-a0f2-ee300cc732a0,player,615d4849-aaca-4493-8525-6ba02527eec0,,Al Nassr,2026-08-19,,Transfer,0,2026-08-19 02:48:41.357954+00,26/27
bab7f421-bb34-4783-b060-cb026648337b,player,845b41dd-88c4-4c42-84de-384698d72d34,,Al Nassr,2026-08-19,,Transfer,0,2026-08-19 02:48:45.667198+00,26/27
1046787d-bac9-47f1-a3c8-27a1b7d7679f,player,27218b51-d2ed-4d29-bb0a-c91875b47050,,Al Nassr,2026-08-19,,Transfer,0,2026-08-19 02:49:02.003876+00,26/27
