id,locale,source_text,translated_text,created_at
9c42b23b-5afe-4b47-8453-f138c46e2fdc,ar,Al Arabi announce friendly against Pyramids FC in Turkey,العربي يعلن مواجهة بيراميدز وديًا في تركيا,2026-08-02 23:35:38.751144+00
7f3a7517-d482-4bd7-ac70-21fbfbe6fc0a,ar,Al Arabi will face Egyptian side Pyramids FC in a friendly match during the club’s training camp in Turkey.,سيواجه العربي نظيره المصري بيراميدز في مباراة ودية خلال المعسكر التدريبي للفريق في تركيا.,2026-08-02 23:35:38.751144+00
9cd21d00-6bd1-45cf-bee0-7817e690aa42,ar,"Al Arabi confirm Pyramids friendly

Al Arabi have announced a friendly match against Egyptian club Pyramids FC as part of their training camp in Turkey.

The fixture is scheduled for Tuesday, August 4, 2026, with kick-off set for 4:15pm.

The match will form part of Al Arabi’s preparations during the camp.","العربي يؤكد ودية بيراميدز

أعلن العربي خوض مباراة ودية أمام نادي بيراميدز المصري ضمن معسكره التدريبي في تركيا.

ومن المقرر إقامة المباراة يوم الثلاثاء 4 أغسطس 2026، على أن تنطلق في الساعة 4:15 مساءً.

وستأتي المباراة ضمن استعدادات العربي خلال المعسكر.",2026-08-02 23:35:38.751144+00
ee1c84ea-2642-42ca-8941-03e936e8a85e,ar,Kuwait FA to Hold 2026–27 Youth Competition Draws,الاتحاد الكويتي لكرة القدم يجري قرعة مسابقات الفئات السنية لموسم 2026–27,2026-08-02 23:57:54.779478+00
255edee2-80d5-4379-8ced-3e2e2efa7309,ar,Kuwaiti Clubs’ Pre-Season Camp Destinations Mapped,تحديد وجهات المعسكرات الإعدادية للأندية الكويتية,2026-08-02 23:57:54.779478+00
3af3b910-b1bf-41c1-80f5-ef2261cb2495,ar,Kuwaiti Premier League,الدوري الكويتي الممتاز,2026-08-02 23:57:54.779478+00
f0d21483-e34b-4c9b-bf43-e10829ba0f3f,ar,Kuwait,الكويت,2026-08-02 23:57:54.779478+00
9630f42f-7f20-4dd3-acee-a4df75bd53a1,ar,Kuwait SC,نادي الكويت,2026-08-02 23:57:56.033541+00
e3bfbdbf-7d8b-45b9-848c-e0df0990baed,ar,"The top-tier professional football league in Kuwait, featuring 12 clubs competing for the national championship and qualification to AFC competitions. Sponsor is to be announced on August 6, 2026 or at a later date.",دوري كرة القدم الاحترافي للدرجة الممتازة في الكويت، ويضم 12 ناديًا تتنافس على لقب البطولة الوطنية والتأهل إلى مسابقات الاتحاد الآسيوي لكرة القدم. وسيُعلن عن الراعي في 6 أغسطس 2026 أو في موعد لاحق.,2026-08-02 23:57:57.788581+00
62742ecb-a06d-49d4-9222-bfd15acf0601,ar,Al Qadsia SC,نادي القادسية,2026-08-02 23:58:02.464891+00
030d402d-18fb-47c7-ac84-e55766a542dd,ar,Al Salmiya SC,نادي السالمية,2026-08-02 23:58:02.464891+00
07bb8834-f540-481b-925e-7a66b8d438ad,ar,Al Arabi SC,النادي العربي,2026-08-02 23:58:02.464891+00
b34fbaea-c12c-4ccd-96ab-e60ce1b3e706,ar,Kazma SC,نادي كاظمة,2026-08-02 23:58:02.464891+00
95d79acf-30c8-4760-b3bc-6e17ac5a6aa9,ar,Al Fahaheel SC,نادي الفحيحيل,2026-08-02 23:58:02.464891+00
ece6b798-e5c3-45df-a3e6-2698e40024f3,ar,Al Nasr SC,نادي النصر,2026-08-02 23:58:02.464891+00
8cf02962-e766-42ed-9000-b3d01aeef756,ar,Al Tadamon SC,نادي التضامن,2026-08-02 23:58:02.464891+00
c7991290-8b75-4127-a61d-081061bc18d7,ar,Al Jahra SC,نادي الجهراء,2026-08-02 23:58:02.464891+00
a546aa03-4c4b-4013-93c5-7941ac8d47a2,ar,Al Shabab SC,نادي الشباب,2026-08-02 23:58:02.464891+00
08df7fdf-f6de-4fcb-80d4-072e2385a0ed,ar,1ST PLACE OF FIRST DIVISION,المركز الأول في دوري الدرجة الأولى,2026-08-02 23:58:02.464891+00
edeba300-4d08-4650-90a9-cb8ca2920750,ar,2ND PLACE OF FIRST DIVISION,المركز الثاني في دوري الدرجة الأولى,2026-08-02 23:58:02.464891+00
854bd0c8-a319-4347-b8e7-f70dd8e420fd,ar,"A pre-season map for Kuwaiti football clubs lists four overseas destinations: Turkey, London, Azerbaijan and Egypt.

Turkey

Qadsia, Al Arabi, Kazma and Al Salmiya are scheduled to hold their camps in Turkey, making it the most popular destination alongside Egypt.

 London

Kuwait SC will travel to London for its pre-season camp.

 Azerbaijan

Al Tadamon is the only club listed as holding its camp in Azerbaijan.

 Egypt

Al Nasr, Al Shabab, Al Fahaheel and Al Jahra will conduct their preparations in Egypt.

In total, the map assigns 10 Kuwaiti clubs to overseas pre-season camps across the four destinations.","تُظهر خريطة المعسكرات التحضيرية لأندية كرة القدم الكويتية أربع وجهات خارجية: تركيا ولندن وأذربيجان ومصر.

تركيا

من المقرر أن تقيم أندية القادسية والعربي وكاظمة والسالمية معسكراتها في تركيا، ما يجعلها الوجهة الأكثر رواجًا إلى جانب مصر.

 لندن

سيسافر نادي الكويت إلى لندن لإقامة معسكره التحضيري للموسم.

 أذربيجان

التضامن هو النادي الوحيد المُدرج لإقامة معسكره في أذربيجان.

 مصر

ستقيم أندية النصر والشباب والفحيحيل والجهراء استعداداتها في مصر.

وبإجمالي 10 أندية كويتية، توزع الخريطة المعسكرات التحضيرية الخارجية على الوجهات الأربع.",2026-08-02 23:58:27.160864+00
71ee8dfd-188d-4354-9793-b8babffa3991,ar,"The draws for Kuwait’s Under-15, Under-17 and Under-19 league competitions will take place at 7:00 p.m. on Sunday, August 2, 2026.",ستُجرى قرعة مسابقات دوريات الكويت تحت 15 سنة وتحت 17 سنة وتحت 19 سنة عند الساعة 7:00 مساءً يوم الأحد 2 أغسطس 2026.,2026-08-02 23:58:28.944258+00
